Nota,Texto
5,"Pra quem mora em zona urbana ele atende bem, mais para interior ensolarado,ele fica auxiliando muito,e a bateria depois de 4meses dura no máximo 2dias carregada 🔋."
5,"Muito bonito, bem acabado, marca certinho a distância o pace que vc está, ótimo pra quem gosta de corrida, recomendo."
5,"Gostei muito do produto! porem nas descrições diz ser 3 atm. Entao acreditei que pelo menos em piscinas eu poderia entrar, visto que o smartwatch aguentaria ate 30m de profundidade. Porem, no certificado informa nao poder mergulhar, nem tomar banho e apenas chuvas leves, devido a movimentação da agua, que pode danificar o produto. Ele chega a ter uma trava nas configurações, de agua, entao me fez acreditar mais ainda poder kkkk tirando isso, estou gostando bastante do produto, e pesquisei mt, pois nao queria um relogio mt grande no meu pulso pq ele é bem fino. Na foto parece estar grande, mas acredito nao ser nem tao grande e nem tao pequeno, esta na faixa de um relogio em um tamanho mediano. Se nao me engano ele tem 1,78’’ e o amazif mini da minha irma tem 1,68. Ainda nao comparei com o dela pessoalmente, mas acredito que nao ser uma diferença mt grande. Sendo assim, acredito ter feito uma ótima compra dentro do que eu estava disposta a gastar em um relogio, pois quero apenas p marcaçoes dos meus treinos e coisas poucas. Amei o produto!."
5,"O smartwatch action tem um bom acabamento conector rápido, vamos testar sua performance em esportes, bateria e seus sensores de monitoramento."
5,"Nossa, é incrível!. Marca os passo, batimentos e é muito fácil de mexer. Material de qualidade, a bateria dura bastante e é muito fashion! eu tem recomendo."
5,"É bonito ,porém achei q teria mais funções mais é muito bonito e prático."
5,Um excelente smartwatch.
5,Eselente.
5,Amei.
5,"Então bora lá avaliar , comprei pra usar na prática de corrida já que um garmin tá mais que o dobro do valor vamos de bip 5 , usei hoje para um treino de 2km corrida e liguei meu app praticamente deu o mesmo percurso e o relógio foi segundos mais rápido como podem ver no comparativo da foto ainda estou aprendendo a usar e pode ficar melhor com o tempo mais a princípio está ótimo para marcar o treino ele vibra no pulso a cada km corrido e isso é muito maneiro pra quem gosta de saber como tá a evolução e fala tbm porém ainda não consegui mudar a fala p/ português mais logo consigo eu acho , espero ter ajudado quem está afim de comprar , só uma coisa achei ele meio grandão pra mim que sou magro e tenho o pulso fino mais tá valendo quero é marcar o tempo da corrida kkkkk o gps demora uns 20 seg pra se conectar mais suave dps só correr. Galera podem comprar sem medo ja estou a um mes usando o relogio é otimo , o gps funciona muito bem so esperar ele ficar verdinho e comecar o treino , pesquisei varios modelos ate 500 e este foi a melhor opcao vi videos no youtube e com certeza foi a melhor opcao que poderia comprar , nao tem para o garmim iniciante vai de bip 5 so nao aconselho nadar com ele , achei a protecqo dele baixa de resto vai ser feliz ah treinos na esteira , dps que vc ajusta os km nos primeiros treinos dps ele da uma diferenca de 100 metros na esteira e isso ajustavel entao registre todos os seus treinos e veja sua evolucao mes a mes. E bora que bora."
5,"Achei muito bom. Tem muitas funções. Ainda estou aprendendo. O gps funcionou bem. As medidas de frequência cardíaca e oxigenação também são ótimas. A correia é flexível e forte, com sistema de prender interessante, por baixo. A programação de treino intervalado parece simples, ainda tenho que testar fazer um treino mais complexo."
5,"Uso pra corrida de rua, a precisao do gps é uma obra prima com 4 satélites ele é muito preciso e localiza bem rápido, pra quem for usar pra correr vale muito a pena."
4,"Ao contrário que alguns dizem, eu gostei bastante do gps dele, não testei a conectividade com a alexa. Bateria dura uma semana, com cerca de 90% de utilização de recursos, só não usei a o de ciclo menstrual, e a frequência de monitoramento é a cada 10 min. Tomo banho tranquilamente com ele, não deu nenhum problema com água quente e fria, ainda não mergulhei com ele. Uso ele para academia, treino de superiores eu dou uma nota 7/10 pq se a amplitude do exercício for pouca ele não pega, nota 2/10 para treino de inferiores, ele não consegue contar agachamento ou qualquer outro treino de perna em uma máquina, então eu faço o treino e depois no app eu adiciono as repetições nas séries."
5,"Tudo oque eu buscava eu encontrei neste modelo, uso para correr e pedalar e agora não preciso levar meu celular, se conecta com o gps muito rápido, conexão automática com o strava só de conectar no bluetooth, possui alguns apps e jogos que podem ser baixados, é um ótimo custo benefício com certeza !."
5,Excelente produto. A tela é de qualidade e com uma imagem perfeita. Consegui ver tudo com o sol batendo direto.
5,"Para quem tem um celular samsung, faz a diferença a quantidade de integrações disponíveis e interatividade cruzada entre celular e pulseira. Achei o samsung health (app que recebe os dados da pulseira) bem mais completo que os concorrentes chineses, lembrete para água com função de marcar a quantidade consumida ao longo do dia, também tem a função para registrar os alimentos consumidos durante o dia (esse só pelo celular). Medições de sono, batimentos e etc. , muito bem acertada. Sobre a pulseira em si, é muito leve, a tela é muito boa, pode customizar as ""faces"" do relógio inclusive com fotos do celular. Enfim, para quem tem celular samsung, recomendo a compra, pois vale pagar um pouco a mais (20% a mais que uma chinesa equivalente no meu caso), pelo software samsung e pela integração entre celular e pulseira, além da construção e aparência de muita qualidade e bom gosto. Se tem celular de outra marca, aí talvez tenha outras opções com um custo benefício melhor."
5,"Ótimo, bonito comprei pra minha esposa e usei pra testar somente, essa cor rosé é bem bonita mesmo. O relógio é ótimo funciona tudo com cell samsung e com o health. Testei na água perfeito resistiu normal. Bateria durando 8 dias com uso medio/intenso. Brilho automático é otimo! (o que não tinha até as fit2). E pra quem interessar ele rastreia o trajeto da caminhada desde que vc esteja com o cell pareado junto de você (antes não estava mas agora atualizou o sistema e voltou a funcionar isso!). Unico problema é película! por ter as bordas curvas, nenhuma pelicula dura mais de 1 mes nesse relógio. O jeito é usar sem película e tomar cuidado. Tire o relógio se for fazer trabalhos braçais. No mais, gostei. Espero ter ajudado."
